payment_number,year,payment,interest,principle,loan
348,29,2423.73,115.11,2308.62,28388.04
349,30,2423.73,106.46,2317.27,26070.77
350,30,2423.73,97.77,2325.96,23744.81
351,30,2423.73,89.04,2334.69,21410.12
352,30,2423.73,80.29,2343.44,19066.68
353,30,2423.73,71.50,2352.23,16714.45
354,30,2423.73,62.68,2361.05,14353.40
355,30,2423.73,53.83,2369.90,11983.50
356,30,2423.73,44.94,2378.79,9604.70
357,30,2423.73,36.02,2387.71,7216.99
358,30,2423.73,27.06,2396.67,4820.33
359,30,2423.73,18.08,2405.65,2414.67
360,30,2423.73,9.06,2414.67,0
